"en","a","ah"
"en","acts","axe"
"en","absence","absents"
"en","access","axis","axes"
"en","accidents","accidence"
"en","acclimation","acclamation"
"en","adds","adze"
"en","adherence","adherents"
"en","ado","adieu"
"en","adulterous","adulteress"
"en","aerie","aery","airy"
"en","arrow","aero"
"en","aid","aide"
"en","ale","ail"
"en","albumin","albumen"
"en","alpha","alfa"
"en","all","awl","aul"
"en","allowed","aloud"
"en","alter","altar"
"en","analog","analogue"
"en","analyst","annalist"
"en","aunt","ant"
"en","ante","auntie"
"en","appetite","apatite"
"en","arc","ark"
"en","ascent","assent"
"en","assistance","assistants"
"en","asteroid","astroid"
"en","ate","ait"
"en","attendance","attendants"
"en","away","aweigh"
"en","axle","axel"
"fr","à","ah","a"
"fr","abaisser","abc"
"fr","abattage","abatage"
"fr","abattis","abatis"
"fr","accord","accort","accore"
"fr","ascétique","acétique"
"fr","ail","aïe"
"fr","aiguiller","aiguillée"
"fr","air","aire"
"fr","alaise","alèse","alèze"
"fr","aller","allée"
"fr","amant","aman"
"fr","amende","amande"
"fr","amène","amen"
"fr","anal","annales"
"fr","anti-mite","antimite"
"fr","aplat","à-plat"
"fr","appât","appas"
"fr","apprêt","après"
"fr","art","are","ars"
"fr","au","aulx"
"en","facts","fax"
"en","faint","feint"
"en","fair","fare"
"en","ferry","fairy"
"en","faker","fakir"
"en","fain","feign","fane"
"en","fate","fait"
"en","farrow","faro"
"en","fawn","faun"
"en","faux","foe"
"en","fond","fawned"
"en","fay","fey"
"en","faze","fays"
"en","feel","feal"
"en","fear","fere"
"en","feet","feat"
"en","fees","feeze"
"en","feral","ferrule","ferule"
"en","fessed","fest"
"en","file","faille"
"en","fills","fils"
"en","find","fined"
"en","fur","fir"
"en","furry","firry"
"en","furs","firs","furze"
"en","fisher","fissure"
"en","flak","flack"
"en","flaks","flax","flacks"
"en","flair","flare"
"en","flay","fley"
"en","flea","flee"
"en","flex","flecks"
"en","flew","flu","flue"
"en","flow","floe"
"en","flows","floes"
"en","fluorescents","florescence","fluorescence"
"en","florescent","fluorescent"
"en","flower","flour"
"en","fold","foaled"
"en","for","four","fore"
"en","forbear","forebear"
"en","forego","forgo"
"en","foregone","forgone"
"en","forward","foreword"
"en","form","forum"
"en","fort","forte"
"en","forth","fourth"
"en","foul","fowl"
"en","frays","fraise","fraze"
"en","frank","franc"
"en","freeze","frees"
"en","friar","fryer"
"en","fritz","frits"
"en","fro","froe"
"en","from","frum"
"fr","faim","fin","feint"
"fr","fait","faix"
"fr","faitout","fait-tout"
"fr","faîte","fête"
"fr","fan","fane"
"fr","fard","far"
"fr","farci","farsi"
"fr","fesse","fèces"
"fr","filon","filons"
"fr","flaque","flac"
"fr","flash","flache"
"fr","flanc","flan"
"fr","fois","foi","foie"
"fr","fond","fonts","font"
"fr","fort","for","fors"
"fr","foyer","fouailler"
"fr","foule","full"
"fr","foulé","fouler"
"fr","four","fourre"
"fr","fourni","fournil"
"fr","frais","frai"
"fr","fureur","führer"
"fr","fuser","fusée","fusions","fusion"
"en","sac","sack"
"en","saccharine","saccharin"
"en","sax","sacs","sacks"
"en","sashay","sachet"
"en","sale","sail"
"en","sane","sain","seine"
"en","salvor","salver"
"en","sought","sot"
"en","saver","savour"
"en","sawed","sod"
"en","seen","scene"
"en","sent","scent"
"en","sense","scents"
"en","skull","scull"
"en","see","sea"
"en","seel ","seal"
"en","seeled","sealed"
"en","semen","seaman","seamen"
"en","seer","sear","sere"
"en","sees","seas","seize"
"en","sex","sects"
"en","senate","sennit","sennet"
"en","send","scend"
"en","sensor","senser"
"en","seraph","serif"
"en","serene","serine"
"en","surf","serf"
"en","settler","settlor"
"en","settlers","settlors"
"en","so","sew","sow","soe"
"en","sewer","suer"
"en","sewn","sown","sone"
"en","sheer","shear"
"en","shoe","shoo"
"en","shoes","shoos"
"en","sibilants","sibilance"
"en","sick","sic"
"en","six","sics"
"en","side","sighed"
"en","sigh","sai"
"en","size","sighs"
"en","site","sight"
"en","sited","sighted"
"en","sites","sights"
"en","sign","sine","syne"
"en","signs","sines"
"en","silents","silence"
"en","sink","sync"
"en","sleigh","slay"
"en","slayed","sleighed"
"en","slaying","sleighing"
"en","slight","sleight"
"en","slew","slough","slue"
"en","slow","sloe"
"en","soak","soke"
"en","sore","soar"
"en","sword","soared"
"en","sol","sole","soul"
"en","sold","soled"
"en","some","sum"
"en","sun","son"
"en","sunny","sonny"
"en","sons","suns"
"en","suit","soot"
"en","sorry","saury"
"en","soup","supe"
"en","spade","spayed"
"en","spear","speer"
"en","spec","speck"
"en","spiel","speel"
"en","spinneret","spinnerette"
"en","spore","spoor"
"en","spores","spoors"
"en","squalor","squaller"
"en","stayed","staid","stade"
"en","staff","staph"
"en","stare","stair"
"en","stares","stairs"
"en","stake","steak"
"en","stakes","steaks"
"en","stock","stalk"
"en","stocks","stalks"
"en","stalker","stocker"
"en","stalked","stocked"
"en","stocking","stalking"
"en","starlet","starlit"
"en","stater","stator"
"en","status","statice"
"en","stationary","stationery"
"en","steal","steel","stele"
"en","steeling","stealing"
"en","step","steppe"
"en","style","stile"
"en","stoop","stoup","stupe"
"en","story","storey"
"en","straight","strait"
"en","straighten","straiten"
"en","stridor","strider"
"en","sty","stye"
"en","subtle","suttle"
"en","subtler","sutler"
"en","sucker","succor"
"en","suckered","succored"
"en","suckering","succoring"
"en","sue","sou"
"en","swayed","suede"
"en","suite","sweet"
"en","summary","summery"
"en","sure","shirr"
"en","surge","serge"
"en","swat","swot"
"fr","seigneur","saigneur"
"fr","saisi","saisie"
"fr","sale","salle"
"fr","soue","soûl","sous","sou","saoul"
"fr","sarrau","sarreau"
"fr","satyre","satire"
"fr","saucer","saucée"
"fr","saut","seau","sot","sceau"
"fr","sceller","seller"
"fr","sceptique","septique"
"fr","sieur","scieur"
"fr","serein","serin"
"fr","serment","serrement"
"fr","sexuel","sexuelle"
"fr","soc","socque"
"fr","soit","soie","soi"
"fr","sort","sore"
"fr","statue","statut"
"fr","sur","sûr"
